"page","line","text"
10,?,"delegations, and it looked to me there was maneuvering going on. And, you know, I"
10,?,"have no problem with going through the appropriate process to challenge an election"
10,?,"and, you know, through the processes of the courts or the regular processes of the State"
10,?,"government, but I was worried that I didn't have any transpar- -- you know, I didn't have"
10,?,"any visibility into what was going on, but it looked to me that the President was digging"
10,?,"in."
10,?,"And then, on November 29th, he appeared on the Maria Bartiromo show, ""Sunday"
10,?,"Futures"" I believe it was, and he said that the Department was missing in action. And,"
10,?,"you know, I will admit that I was annoyed by a basic dynamic which I actually told my staff"
10,?,"very soon after the election, which is, I didn't think the President would ever admit that"
10,?,"he lost the election, and he would blame it on fraud, and then he would blame the"
10,?,"actions and evidence on the Department of Justice."
10,?,"So I felt all along that people were going to be attacking the Department, saying"
10,?,"that, you know, we had ignored evidence of fraud. And so this got under my skin, but I"
10,?,"also felt it was time for me to say something."
10,?,"So I set up a lunch with the AP reporter Mike Balsamo. And I told him at lunch,"
10,?,"made the statement that, to date, we have not seen fraud on a scale that could've"
10,?,"effected a different outcome in the election. And I realized, when I said that, that that"
10,?,"was going to be in the news and go national."
10,?,"So I had a later meeting scheduled at the White House at 3 o'clock with J:"
10,?,"this was previously scheduled. So! knew this was going tocome up. And! went over"
10,?,"there, and I told my secretary that I thought I would probably be fired and told not to -- to"
10,?,"go home -- I mean, not go back to my office. So! said, you might have to pack up for"
10,?,"me."
10,?,"And so, when I got over there, I met with the chief of staff. He said the President"
10,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764194"
20,4,"SELECT COMMITTEE TO INVESTIGATE THE"
20,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
20,6,"U.S. HOUSE OF REPRESENTATIVES,"
20,7,"WASHINGTON, D.C."
20,11,"INTERVIEW OF: [i"
20,15,"Sunday, June 19, 2022"
20,17,"Washington, D.C."
20,20,"The interview in the above matter was held via Webex, commencing at 4:33 p.m."
20,21,"Present: Representative Schiff."
20,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767550"
21,1,"be required in my mind to convince me that there was -- there was sufficient fraud and"
21,2,"sufficient activity that would merit our involvement, no, never found any."
21,3,"Q__ Soit sounds like there were a multitude of claims brought to your attention"
21,4,"by constituents, other members of the House of Representatives, but in your view, there"
21,5,"was no credible evidence to support any of those claims. _ Is that correct?"
21,6,"A That's correct."
21,7,"Q EB I understand that, in late November, or November 22nd to"
21,8,"be specific, you received a phone call from President Trump and in which"
21,9,"they discussed the result of the Presidential election in Arizona with you."
21,10,"Do you recall that conversation?"
21,11,"A Ofcourse."
21,12,"Q_ Can you describe that phone call for us?"
21,13,"A Ican. My wife andI returned from church. We had been in very serious"
21,14,"discussion, EEE and I, for some -- couple weeks, at least, on what we might do"
21,15,"that would help restore confidence generally and defray some of this activity."
21,16,"So we had spoken a lot and when our chief first had called and had asked if I had"
21,17,"received -- been in contact with the White House and I said: No. No."
21,18,"She said: Well, they've been trying to get in touch with me, and I don't know"
21,19,"that they're going to ask, but we at least should be on the same page and have some, you"
21,20,"know, not move, take any motion or make any commitment without talking to each"
21,21,"other."
21,22,"l agreed."
21,23,"And then we said: Well, if you get it, call me back."
21,24,"And immediately, on my Bluetooth in my car, it said that the White House was"
21,25,"calling. And I took that call, and the White House operator asked if I would hold for the"
21,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767558"
22,1,"President, and it was [ who came on and said salutation. And he said that"
22,2,"the President would be with us shortly, and shortly thereafter, the President came on."
22,3,"Q (ERR, can! interrupt you for one second? I just want to clarify."
22,4,"You referenced iD. Is that (NM, the President of the Arizona Senate?"
22,5,"A __ That is correct."
22,6,"Q_ Okay. So {J told you that the President would be coming on the"
22,7,"line, and then he --"
22,8,"A And he shortly did, shortly thereafter he did."
22,9,"Q_ Okay."
22,10,"A Collegial, you know, some small talk. Andthen! said: Well, how can I be"
22,11,"of help?"
22,12,"And, again, in the context -- I support the President, and they said: Well, we are"
22,13,"given to understand -- and I am reconstructing a lot of things in my mind, that is, to my"
22,14,"best memory -- I understand that there are -- there has been a lot of fraud in your"
22,15,"election."
22,16,"And then he proceeded to give classifications, groups of people, a large amount,"
22,17,"60,000 illegal aliens, you know, large numbers, voted in your election, a number of dead"
22,18,"people voted in your election, fraudulent military ballots were counted in your election,"
22,19,"people that voted and moved -- and he had more. _I can't remember all of them"
22,20,"and -- and! said: I you -- J at first, and then it just got down to i -- do"
22,21,"you have -- do you have proof of that?"
22,22,"And they said: Yes."
22,23,"Isaid: Do you have names?"
22,24,"Yes."
22,25,"Can you give those to me?"
22,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767559"
23,1,"Yes."
23,2,"And the President -- and I said: I need more than just numbers. I need proof,"
23,3,"and I need it on my desk. I don't want it -- it's not a thing about a hunch, I think, maybe,"
23,4,"none of that. It has to be proof, names, how they voted, on my desk."
23,5,"Q (QE, can! interrupt you for one moment?"
23,6,"A Ofcourse."
23,7,"Q__ So was the person who started ticking off these claims that there were"
23,8,"60,000 illegal aliens who voted, a number of dead people voted, was that President"
23,9,"Trump or i?"
23,10,"A No, it was i."
23,11,"Q__ Did the President share any of his thoughts or give any input on the specifics"
23,12,"of the claims of election fraud?"
23,13,"A Hedid not, to my recollection. Not to the specifics. He didn't offer any"
23,14,"numbers or anything."
23,15,"Q Soy -"
23,16,"A He did say --"
23,17,"Q_I'msorry."
23,18,"A He did say, because I -- I was insistent that I had to have proof, real proof,"
23,19,"judicial level. That's the kind of proof I'm talking about. And the President said:"
23,20,"HEEB give the man what he wants. Give him what he wants."
23,21,"And QM said: twill. Iwill, We have it."
23,22,"And then he continued in his discussion. AndIsaid: J what's the ask here?"
23,23,"What's the ask?"
23,24,"And the President said: J what's the ask? What do you need from the"
23,25,"speaker?"
23,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767560"
24,1,"And then he said -- of the two issues that I remember most, the first was that he"
24,2,"wanted to have a committee meeting. He wanted the legislature to hold an official"
24,3,"committee and then be able, I would presume, when you say ""official committee,"" I'm"
24,4,"not talking about an interim ad hoc committee, but an official committee of using one of"
24,5,"our standard standing committees to do it."
24,6,"And that's what he said: We'd like to have a committee meeting and review this"
24,7,"proof and this information in a legislative committee. And then, you know, have some"
24,8,"type of established level of recognition of that information."
24,9,"And I said: I will not do that."
24,10,"And we discussed why. AndIsaid: I'm not going to have a circus. And you"
24,11,"know and I know that for me to establish some type of an official report to the legislature"
24,12,"that I should call the legislature into session."
24,13,"And to call them into a special session, I need two-thirds of the members to do"
24,14,"that, and I only have half plus one. The Democrats aren't going to call me into session or"
24,15,"let me go into session. And SJ said, he said: I'm not familiar with all of the laws of"
24,16,"Arizona and the legislature, et cetera."
24,17,"So I just said: You know, people can go out and do an ad hoc committee -- I"
24,18,"mean, and not named by the President, but the speaker or the President, they can go get"
24,19,"a group of people together and talk about it and do what they want. But if you're asking"
24,20,"something to happen in the House, I'm not going to allow that."
24,21,"Q_ So--"
24,22,"A Unless I see myself what it is we're talking about. That was kind of the"
24,23,"flavor of our discussion."
24,24,"Q__ Sol want to cover a couple things that you mentioned there. _ First, you said"
24,25,"that, early part of your answer, you said that the President encouraged EE to"
24,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767561"
25,1,"give you the evidence that you were looking for, and he said he would."
25,2,"Did (MM give you the evidence that you were asking for in that"
25,3,"conversation?"
25,4,"A Not then and not a week later, not 2 weeks later, not now. Never."
25,5,"Q_ Okay. The other thing I want to follow up on, I thought you said that there"
25,6,"were two components to the ask and one of them you've just described, which is that"
25,7,"there be an official committee meeting by a standing committee. What was the other"
25,8,"component of the ask by [EE ?"
25,9,"A __ And then he said in this flowing of the conversation said: We understand"
25,10,"from someone -- and I remember the phrase ""high up in Republican circles"" in the"
25,11,"legislature who said that Arizona law allows for you to call for the dismissal of the Biden"
25,12,"electors and the replacement of those electors by a new slate of electors for President"
25,13,"Trump if there was sufficient cause."
25,14,"And the flavor of the discussion was that the committee meeting would prove"
25,15,"sufficient cause to allow us then to move to number two, which would be the dismissal or"
25,16,"the questioning of the electors that had already been elected. I mean, the vote had"
25,17,"already been taken by the people, you know, 2 and a half weeks earlier."
25,18,"Q_ I'msorry. x, cic EM identify this high up person in"
25,19,"the Republican circles in the legislature?"
25,20,"A He did not. I said: I would very much like to know who that is."
25,21,"And he declined."
25,22,"Q_ So you were the leading Republican in the House as speaker, I assume?"
25,23,"A I presumed I was."
25,24,"Q And J was the leading Republican in the Senate?"
25,25,"A Yes."
25,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767562"
26,1,"Q_ And was she on this phone call with you on November 22nd?"
26,2,"A __ No, sir, she was not."
26,3,"Q Was it your understanding that J was talking about"
26,?,"es:"
26,5,"A No, it was not my understanding."
26,6,"Q_ Okay."
26,7,"A__ They never intimated any more than what I've told you. They never said"
26,8,"anymore. In my view, I know exactly who it was, but I couldn't -- that's just my personal"
26,9,"opinion for who had been pressing this very issue and pressing me to allow him to hold a"
26,10,"committee meeting to review it, and that was J, my Federal relations"
26,11,"chairman."
26,12,"Q (RD, in your view, was there any merit to the position that J"
26,13,"HE or whoever this person was, was pressing on EE that the Arizona State"
26,14,"legislature could disregard Biden electors and install electors for Trump instead?"
26,15,"A At the time -- in fact, when he said that, my response was: Now that's a"
26,16,"new one. I've never heard that one before."
26,17,"And Isaid: You need to tell me more about that."
26,18,"Andhedid. Notthey. He. [ij [Msaid: Well, we're given this"
26,19,"information and that there is a legal theory and there's some legal work."
26,20,"And I said: i can you think of a time that's ever happened in the United"
26,21,"States history?"
26,22,"He said: I personally am not an expert on Arizona law. So it was very general."
26,23,"It was later that I received a treatise -- I may have received it earlier by email, but I never"
26,24,"read it, wherein [ presents it as part of -- and he told -- he personally told me"
26,25,"that that was part of his term paper that he did as part of the legal studies program that"
26,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767563"
27,1,"he was entered in with the University of Arizona."
27,2,"And it also later came to my attention that [I had had some"
27,3,"information that was used by EE as a, you know, legal theory upon which to"
27,4,"base his paper and that he cited in his paper."
27,5,"But I had not any other clue other than that initial, you know, claim by"
27,6,"HM And he -- he backed right up. I mean, he didn't try to give me scripture and"
27,7,"verse where in Arizona statute. And he would have been way off, because the claim is"
27,8,"against Article Il, section 1, clause 2, about the legislative powers."
27,9,"But that was what he had said, and I just said: I I you're asking me to do"
27,10,"something that is beyond anything I have ever heard or contemplated as a constitutional"
27,11,"prerogative or choice that I might take. And I will do nothing, nothing that will put my"
27,12,"State at risk or cast a bad reputation on my State or on my body unless I know a lot more"
27,13,"about it and that I have competent legal -- and not necessarily from this conversation. I"
27,14,"said: I'm not going to go willy-nilly off and take some kind of decision without good"
27,15,"legal counsel on this issue, and I have some good lawyers. And -- and, in fact, I will -- I"
27,16,"may have gone beyond what you want me to answer, J."
27,17,"Q  No,no. That's fine. So just to summarize."
27,18,"So, SE, the second part of his ask -- the first part was that you convene a"
27,19,"special -- or you bring the committee back into session, an official committee."
27,20,"And the second ask was that the State legislature consider disregarding the Biden"
27,21,"electors and install the electors for Trump instead."
27,22,"And, on that second ask, you told him you never heard of such a thing, right?"
27,23,"A I never heard of such an authority or thing ever."
27,24,"Q_ And you shared your skepticism with [is ?"
27,25,"A I did."
27,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767564"
28,1,"Q_ And sorry?"
28,2,"A Strongly. Andhe said: Well, you know, we're all kind of Republicans and"
28,3,"we need to be working together."
28,4,"And I said -- I mean, that was, you know, those little snippets would be in the"
28,5,"conversation and I know when I'm being worked. _I mean, I've only been at it for a while."
28,6,"And I know he's trying to work me to a point. And I believe that one -- one point the"
28,7,"President said: We're just asking you to investigate. Just look into it."
28,8,"And -- and I said: _ I will give you the number of my attorney right now."
28,9,"But I said: I have seen people do that on their cell phones, but I'm not real"
28,10,"familiar with it, and, Mr. President, I can't even tweet on this thing and watch; it'll be me"
28,11,"telling my grandkids that me trying to do this, and I hung up on the President of the"
28,12,"United States."
28,13,"And Isaid: But I'll try."
28,14,"He said: Well, go for it."
28,15,"The President said: Well, go for it."
28,16,"And so I did, and that's exactly what I did. I disconnected us. I hung up on him."
28,17,"Q_ You're a man of your word."
28,18,"A I follow through. And then J immediately called me back and"
28,19,"said, hey -- he was laughing, and he said: Hey, the President, he's a great guy. He was"
28,20,"laughing like crazy. He said: You know that really is funny."
28,21,"And so then we went on. And_I got right back to dead serious. Isaid: Just"
28,22,"remember, [E, you said you had proof, and! wantit. You bring me the proof"
28,23,"of all these things you say are real."
28,24,"Q_ Sorry. And is that how you sort of left things at the end of that"
28,25,"conversation?"
28,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767565"
29,1,"A Yeah. It kind of ended that way. He said he would. I said: I'll have my"
29,2,"lawyer get in touch with you. You can expect his call, and I expect you to call him."
29,3,"And I gave him the number, and that's how we left the phone."
29,4,"Q_ And I think you've already said that you didn't get the proof that you had"
29,5,"requested and that he had promised?"
29,6,"A Thatis correct. Nor did he ever call NJ. He never made that call."
29,7,"Q___lIunderstand that, a week or so after that call -- yes?"
29,8,"HE. just wanted a couple of followup questions, is."
29,9,"a:"
29,10,"Q__ Just to clarify, did the President participate in the entirety of the phone call?"
29,11,"A Yes."
29,12,"Q Okay. And did you hear him ever challenge or dispute what JES"
29,13,"was saying to you?"
29,14,"A No."
29,15,"Q_ Okay. And you mentioned that in part of your -- part of your discussion"
29,16,"here with us today that one of the second ask that you described about replacing the"
29,17,"electors in Arizona, the Biden electors with Trump electors, that you now understand that"
29,18,"the source of this argument was in the United States Constitution."
29,19,"Did that come up during the call at that time, or is that something that you've"
29,20,"understood later?"
29,21,"A No. It did not come up in the call; it was later."
29,22,"Q Okay. So, at the time of this call in November 2020, all that [iy"
29,23,"was asserting to you was that someone from Arizona Republican circles had told him that"
29,24,"there was an Arizona law that would provide you an avenue to replace the electors. Is"
29,25,"that right?"
29,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767566"
30,1,"A Yes. That's correct."
30,2,"Q_ And did the President make any comment about that assertion by"
30,?,";"
30,4,"A Hedid not."
30,5,"Q_ Okay."
30,6,"HR. Thank you."
30,7,"HE... Schiff?"
30,8,"Mr. Schiff. Yes, thank you, [."
30,9,"Mr. Speaker, once again, thank you for spending part of your Father's Day with us"
30,10,"this way. I just wanted to follow up and make sure that weren't leaving anything out."
30,11,"Can you tell us, as best you can recall, each of the times the President spoke up during the"
30,12,"conversation and what he had to say?"
30,13,"HE Generally, I even thought, is this like a good cop, bad cop thing,"
30,14,"because he would say: I give him what he needs. Tell him what you need."
30,15,"What's the ask? We'll call the lawyer. Things like that."
30,16,"It was never -- and then one time he said, ""We would just like you to investigate"
30,17,"this,"" which was, in my view, I understood that to check it out: We'd like to ask you if"
30,18,"you would check it out."
30,19,"HE (What did the President say to you when he first got on the line with"
30,20,"you?"
30,21,"WU MCs said: = Mr. Speaker, I've heard a lot about you. You know, the"
30,22,"pat on the back stuff. We -- we'd like to talk with you about something that we've been"
30,23,"thinking about."
30,24,"He didn't go right to any point, but it was kind of a general introduction, some"
30,25,"niceties, and then he turned it over to"
30,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767567"
31,?,"Mr. Schiff. And what was the rest of the pat on the back stuff? Do you recall?"
31,?,"QR. That he had heard that I was doing a great job. He did -- we"
31,?,"did -- we had met when he had come to campaign, and we -- you know, we met him"
31,?,"coming down from Air Force One and went to an event with him and he gave the, you"
31,?,"know, the call to the stage and that kind of stuff."
31,?,"So we had met and it was more like, you know, we really appreciate Arizona. It's"
31,?,"a great State, great people, that kind of -- it was like campaign talk."
31,?,"Mr. Schiff. So, when you said that you campaigned for him in the 2020 election,"
31,?,"you actually campaigned with him at times?"
31,?,"HE. cic."
31,?,"Mr. Schiff. And was that more than once or what was the nature --"
31,?,"a. I only recall one campaign -- large campaign event where we went."
31,?,"And then I walked for the campaign and passed out flyers and, you know, went door to"
31,?,"door, things like that."
31,?,"Mr. Schiff. Wow. So you actually as the speaker of the House of"
31,?,"Representatives in Arizona, you went door to door precinct, walking for President Trump?"
31,?,"HE. 4c anc SR, yes, that's correct."
31,?,"Mr. Schiff. So, on the phone call after the pleasantries and the pat on the back,"
31,?,"he basically turns it over to [J to make the requests?"
31,?,"HR. That's correct."
31,?,"Mr. Schiff. And, you know, as {I is asking you to call the legislature into"
31,?,"session so that he can present whatever evidence he has or suggesting to you that the"
31,?,"legislature can somehow decertify the Biden electors or appoint Trump electors, is the"
31,?,"President commenting on this along the way?"
31,?,"H.-N. I don't ever remember him saying, like ""that's right"" or ""yes"""
31,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767568"
32,?,"or ""well said,"" nothing like that, never."
32,?,"Mr. Schiff. So his interjections were mostly to, as you say, good cop/bad cop to"
32,?,"prompt i to tell you exactly what he wants you to do?"
32,?,"HE. That is -- that is my recollection, Mr. Schiff. That's my"
32,?,"recollection, yes."
32,?,"Mr. Schiff. And, on the first ask, (NN wanted you to reconvene the"
32,?,"legislature so he could present you with what he claimed was evidence of these"
32,?,"allegations of fraud, but you weren't willing to do that without seeing some -- some"
32,?,"substance to these allegations. Is that right?"
32,?,"HEE. Representative, my recollection is that he wanted a committee"
32,?,"meeting at the legislature. It was my view that if we're going to have some official"
32,?,"outcome to this committee, that we would have to be in session, and that I talked about"
32,?,"that."
32,?,"But the committee meeting, the hope was for that so that they could present al! of"
32,?,"these cases, whatever it was that they had in an official capacity, establish an official"
32,?,"record for whatever use they felt that was necessary. That's my -- that was my"
32,?,"understanding."
32,?,"Mr. Schiff. And if I understood correctly, you had two strong objections to that?"
32,?,"One was you wanted to see some evidence first?"
32,?,"HR. That's correct."
32,?,"Mr. Schiff. And, second, in the absence of that evidence, it was going to be"
32,?,"impossible to convince enough of the legislature, the two-thirds needed to bring it back"
32,?,"into some session?"
32,?,"HE. think -- I had not thought that, but I think that is true. In my"
32,?,"view -- see, they have to vote. I can't callthemin. We can --I can say we're going to"
32,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767569"
33,?,"meet on X date and you'll vote whether you come in or not. They have to vote to come"
33,?,"in."
33,?,"And we have only called, I believe, the legislature has called itself into session one"
33,?,"time, and that was like in 1981 or -3, and it was to override a veto of the Governor."
33,?,"So I have no practical knowledge of the A, B, C, Ds of calling the legislature into"
33,?,"session. And that -- we would just rely on the established protocols, but I knew that I"
33,?,"had to have nine Democrats ascent to calling us into session."
33,?,"We had been fighting this battle for over a year on the COVID issue where they"
33,?,"wanted me to call them into session, repel the Governor's autocratic rule, et cetera."
33,?,"And this had been a subject of hundreds, thousands of emails over the last period of"
33,?,"COVID time when we were out of session, couldn't meet, you know, many of the"
33,?,"problems that the whole country was going through."
33,?,"So that point was, again, presented to me that I was just going to call us into"
33,?,"session, and I wanted to clarify to him how that would have to happen."
33,?,"Mr. Schiff. And, Mr. Speaker, can you tell us, again, as best you recall exactly"
33,?,"what -- what his second request was, that is, what he was arguing you could do to"
33,?,"either decertify the Biden electors, appoint Trump electors? What was he asking you to"
33,?,"do? What did he believe you had the power to do?"
33,?,"HS. The bridge between the first point and the second point was me"
33,?,"saying: Towhatend? What'stheend? I get the ask of the committee, but to what"
33,?,"end? Where are we going with this? What's the end?"
33,?,"And he said: Well, we understood that there's this thing where you would be"
33,?,"able to decertify."
33,?,"And we got into the second ask."
33,?,"And that was exactly it, that I would decertify because of obvious fraud, you know,"
33,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767570"
34,1,"things like that."
34,2,"Mr. Schiff. And by ""decertify"" you mean, he was asking --"
34,3,"HR. Decertify the electors’ position and decertify the election and allow"
34,4,"for the certification of a new slate of electors to go to Washington to represent Arizona"
34,5,"and our vote."
34,6,"Mr. Schiff. So his second ask was for you to call the legislature and to decertify"
34,7,"the electors for Biden, recertify electors for Trump, and send those to Washington?"
34,8,"HE. That's correct. That's as I understood it, yes."
34,9,"Mr. Schiff. And your response to him was what?"
34,10,"HR. That'sanewone. I'd never heard that one before, you know, as"
34,11,"far as some off-the-wall thing. said: Has that ever been done before?"
34,12,"He said: I really don't know. You know, I'm not familiar with Arizona law."
34,13,"He did kind of a pivot."
34,14,"And then I said: You're asking me to do something that has never been done"
34,15,"before, that's supposedly constitutional, and I swore an oath to the Constitution of the"
34,16,"United States, and I also swore an oath to the constitution and laws of my State, and I'm"
34,17,"going to just willy-nilly do this?"
34,18,"Isaid: No. lamnotgoingto. I swore an oath."
34,19,"And asked: Whose oath should I honor? Should I honor the United States?"
34,20,"Should I honor the State? I swore an oath to both."
34,21,"And he said: The United States Constitution trumps -- trumps the State"
34,22,"constitution."
34,23,"I said, I was -- I'll admit I was a little bit frustrated by now, and I said: I will not do"
34,24,"any such thing without sufficient proof, but also without sufficient -- I'm not going to do"
34,25,"this willy-nilly and make some commitment on the phone."
34,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767571"
35,1,"That kind of thing, you know. I thought somebody's trying to sell me a used car."
35,2,"Q__ That they didn't even have on the lot?"
35,3,"A __ They certainly didn't have any proof. When he came, he said he would"
35,4,"bring the proof. He didn't bring the proof, but he did bring COVID. That's about the"
35,5,"only thing that's lasted in Arizona. _ I've never seen any proof."
35,6,"Q__Doyou recall any specific allegations? _I know there was no proof, but do"
35,7,"you recall specific allegations that were made --"
35,8,"A Oh, yes."
35,9,"Q_ --at this meeting?"
35,10,"A Again, I don't remember -- like if he said 6,000 dead people or 60,000 dead"
35,11,"people or a huge number of illegal aliens and I mean large. _I think one time he said that"
35,12,"you have 5 million illegal aliens in this State and Senator J said: J we've only got"
35,13,"7 million people in the State. Are you telling me that 5 million of them are illegal aliens?"
35,14,"And it was not -- it was nota little Sunday school class meeting. I was a very -- it"
35,15,"was a very tough meeting."
35,16,"Q_ And I think you've referenced --"
35,17,"A I'm sorry."
35,18,"Q_ Go ahead, as."
35,19,"A I was done."
35,20,"Q___ I think you said earlier that, in response to Mr. Schiff's questions, that"
35,21,"J took note of the fact that the -- that it was somewhat of a tense and he called"
35,22,"hostile meeting."
35,23,"A __ Atleast twice, if not more, but at least twice and specifically would say:"
35,24,"Man, I thought we were all Republicans. This is -- this is -- this is a little more hostile a"
35,25,"reception. I'm amazed at the reception I'm getting here."
35,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767577"
36,?,"where a President's electors could be replaced. And then she opined, you know. She"
36,?,"gave her opinions on the subject."
36,?,"One thing was, because we -- I had pushed for evidence: Have you got the"
36,?,"evidence?"
36,?,"I remember, I don't know if it was just an off-the-cuff comment or what, but"
36,?,"he -- NJ said something like: We have -- we don't have the evidence, but we"
36,?,"have lots of theories."
36,?,"And I -- in retrospect, I think, at least he said that right, you know. But it was -- it"
36,?,"was something that he had said that we later, we all looked at each other and said: Did"
36,?,"he really say that?"
36,?,"Yes, he did."
36,?,"So it was an illuminative moment, which he went on at length."
36,?,"And I seem -- you know, as} think of it.now..thatls.ane of the things that J"
36,?,"really went after was the idea of throwing out the election and -- I'm sorry, not"
36,?,"HE, that he really went after that point. That was an"
36,?,"exercised point."
36,?,"Q Understood. Thank you."
36,?,"A __ Thank you."
36,?,"Ho. Schiff?"
36,?,"Mr. Schiff. Thank you."
36,?,"Mr. Speaker, on December 4th, you released a statement publicly addressing,"
36,?,"quote, calls for the legislature to overturn the 2020 certified election results. The"
36,?,"statement was very straightforward in explaining the breathtaking request made by"
36,?,"representatives of President Trump, quote, that the Arizona legislature overturn the"
36,?,"certified results of last month's election and delivered the State's electoral college votes"
36,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767585"
37,1,"Q Okay."
37,2,"A --lunderstand."
37,3,"Q__ Did he -- did he try to tell you that what he was asking of you was not illegal?"
37,4,"A He never mentioned anything about what he asked, from my recollection,"
37,5,"which is why it was kind of surrealto me. I thought, wow."
37,6,"Q_ Okay. Thank you."
37,7,"mT"
37,8,"Q On December 4th, did you have a call with {, another attorney"
37,9,"working for the President on his efforts to oppose the election results?"
37,10,"A Yes."
37,11,"Q__ How did that call come about?"
37,12,"ER. 'msorry. I just want to interject. I think that you asked the"
37,13,"question whether it was on December 4th. I think you meant January."
37,14,"BY a:"
37,15,"Q_ Thank you, Counsel. I did misspeak."
37,16,"On January 4th, you had a call with i?"
37,17,"A Ido remember speaking with NN. I'm not -- let me -- yes, I see it"
37,18,"in mynotes. Yes, that meeting did occur."
37,19,"Q__ How did that call come about?"
